name,latitude,longitude,address,station_id,categories,distance,popularity
John Brown Smokehouse,40.751047,-73.93797,"2720 40th Ave, Queens, NY 11101",13026,BBQ Joint,206,0.9863061776133096
Brooklyn Boulders Queensbridge,40.751047,-73.93797,"2310 41st Ave, Long Island City, NY 11101",16044,Rock Climbing Spot,247,0.9928944824486328
Teazzi Tea Shop,40.751047,-73.93797,"4321 Hunter St (btwn 44th Dr & 43rd Ave), Long Island City, NY 11101",13033,"Bubble Tea Shop, Restaurant",503,0.9745149591463528
Partners Coffee,40.751047,-73.93797,"2625 Jackson Ave (At 43rd Ave), Long Island City, NY 11101",13002,"Bakery, Coffee Shop, Restaurant",485,0.9776059208541399
Olives Organic Market,40.751047,-73.93797,"4237 27th St, Long Island City, NY 11101",13039,Deli,279,0.9892616788478471
Beija Flor,40.751047,-73.93797,"3802 29th St (38th Avenue), Long Island City, NY 11101",13079,Brazilian Restaurant,528,0.9692751017492873
The Beast Next Door,40.751047,-73.93797,"4251 27th St (btwn 43rd Ave & 42nd Rd), Long Island City, NY 11101",13025,"Wine Bar, Café, American Restaurant",389,0.9527427667185931
Adda Indian Canteen,40.751047,-73.93797,"3131 Thomson Ave (btwn 31st St & Van Dam St), Long Island City, NY 11101",13199,Indian Restaurant,759,0.9881041075309865
Astoria Seafood,40.751047,-73.93797,"3710 33rd St (at 37th Ave), Long Island City, NY 11101",13302,"Mediterranean Restaurant, Seafood Restaurant, Meat and Seafood Store",777,0.9854687855968574
Suzuki Shokudo,40.751047,-73.93797,"3801 31st St (38th Ave), Long Island City, NY 11101",13272,"Ramen Restaurant, Sushi Restaurant",579,0.9862630765536393
Frederick Douglass Circle Gate,40.801694,-73.957145,"8th Ave , New York, NY, United States (at 110th St), New York, NY 10026",16000,Landmarks and Outdoors,169,0.9983524799759336
Melba's,40.801694,-73.957145,"300 W 114th St, New York, NY 10026",13314,"New American Restaurant, South American Restaurant, Southern Food Restaurant",152,0.9937460045876735
Bo's Bagels,40.801694,-73.957145,"235 W 116th St (Between St. Nicholas and Frederick Douglass blvd), New York, NY 10026",13001,"Bagel Shop, American Restaurant, Deli",350,0.993475726694995
North Woods,40.801694,-73.957145,"New York, NY 10028",16032,Park,440,0.9645277892678524
Park West Cafe & Deli,40.801694,-73.957145,"477 Central Park W, New York, NY 10025",13036,"Tea Room, Deli, Mediterranean Restaurant",313,0.9886882826307675
Central Park,40.801694,-73.957145,"110TH St (btwn 5th & 8th Ave), New York, NY 10026",16032,Park,521,0.9984981950137254
Safari Restaurant NYC,40.801694,-73.957145,"219 W 116th St (Powell), New York, NY 10026",13067,"African Restaurant, Fast Food Restaurant",367,0.9734234573007935
Monkey Cup,40.801694,-73.957145,"1965 Adam Clayton Powell Jr Blvd (at W 118 St), New York, NY 10026",13035,"Coffee Shop, Restaurant",580,0.9897928966269319
Morningside Park - 113th St Playground,40.801694,-73.957145,"113TH St (Manhattan Ave/Morningside Ave), New York, NY 10025",16037,Playground,235,0.9913417064641071
Lido,40.801694,-73.957145,"2168 Frederick Douglass Blvd (at W 117th St), New York, NY 10026",13236,Italian Restaurant,412,0.9899738653028992
Amor Cubano,40.795508,-73.941606,"2018 3rd Ave (at E 111th St.), New York, NY 10029",13135,"Cuban Restaurant, Latin American Restaurant, Seafood Restaurant",108,0.9883239950362878
Ricardo Steak House,40.795508,-73.941606,"2145 2nd Ave (btwn 110th & 111st St), New York, NY 10029",13383,Steakhouse,249,0.9897035874102207
La Chula,40.795508,-73.941606,"137 E 116th St, New York, NY 10029",13303,Mexican Restaurant,362,0.980363723536269
Taco Mix,40.795508,-73.941606,"234 E 116th St (btwn 2nd and 3rd Ave.), New York, NY 10029",13145,"Fast Food Restaurant, Latin American Restaurant, Taco Restaurant",323,0.9944816305042681
East Harlem Bottling Co,40.795508,-73.941606,"1711 Lexington Ave, New York, NY 10029",13006,"Beer Bar, American Restaurant",443,0.9915062234422592
Patsy's Pizza,40.795508,-73.941606,"2287 1st Ave (btwn E 117th & E 118th St), New York, NY 10035",13064,Pizzeria,613,0.9966767570413266
Malinee Thai,40.795508,-73.941606,"2028 2nd Ave (btwn 104th St & 105th St), New York, NY 10029",13352,Thai Restaurant,678,0.991642537509871
Teranga,40.795508,-73.941606,"1280 5th Ave (E. 109th St.), New York, NY 10029",13067,African Restaurant,652,0.981292069341556
Contento,40.795508,-73.941606,"88 E 111th St, New York, NY 10029",13025,"Wine Bar, Latin American Restaurant",393,0.993785958710939
Blue Line Deli,40.795508,-73.941606,"2135 1st Ave (at E 110th St), New York, NY 10029",13039,Deli,471,0.9954264280073704
NY Pizza Suprema,40.7505853470215,-73.9946848154068,"413 8th Ave (btwn W 30th & W 31st St), New York, NY 10001",13064,Pizzeria,57,0.9984417891926447
Best Bagel & Coffee,40.7505853470215,-73.9946848154068,"225 W 35th St (btw 7th & 8th Ave), New York, NY 10001",13001,"Bagel Shop, Fast Food Restaurant, Coffee Shop",351,0.9970998006994322
Zou Zou's,40.7505853470215,-73.9946848154068,"385 9th Ave (31st St), New York, NY 10001",13009,"Cocktail Bar, Mediterranean Restaurant",414,0.9933746662655586
Haymaker Bar and Kitchen,40.7505853470215,-73.9946848154068,"252 W 29th St (btwn 7th Ave & 8th Ave), New York, NY 10001",13006,"Beer Bar, Gastropub, New American Restaurant",186,0.9908293535892904
Vitos Slices And Ices,40.7505853470215,-73.9946848154068,"464 9th Ave (36th Street), New York, NY 10018",13064,"Pizzeria, Italian Restaurant",443,0.9954945850411763
Liberty Bagels Midtown,40.7505853470215,-73.9946848154068,"260 W 35th St, New York, NY 10001",13334,"Sandwich Spot, Bagel Shop",280,0.9976121535742488
Brooklyn Bagel & Coffee Company,40.7505853470215,-73.9946848154068,"286 8th Ave (btwn W 24th & W 25th St), New York, NY 10001",13001,"Bagel Shop, American Restaurant",557,0.9970903997292521
Shukette,40.7505853470215,-73.9946848154068,"230 9th Ave (at W 24th St), New York, NY 10001",13309,Middle Eastern Restaurant,626,0.9857504794494791
Shake Shack,40.7505853470215,-73.9946848154068,"1333 Broadway (at W 36th St), New York, NY 10018",13031,"Burger Joint, American Restaurant, Fast Food Restaurant",598,0.9976803106080547
Piggyback,40.7505853470215,-73.9946848154068,"140 W 30th St, New York, NY 10001",13009,"Cocktail Bar, Restaurant, Filipino Restaurant",384,0.9873251419546497
Gran Caffe De Martini,40.6794388,-73.9680438,"609 Vanderbilt Ave (at Bergen), Brooklyn, NY 11238",13035,"Coffee Shop, Dessert Shop, Restaurant",43,0.9686414115620713
Bierwax,40.6794388,-73.9680438,"556 Vanderbilt Ave, Brooklyn, NY 11238",13006,"Beer Bar, Restaurant",64,0.9688817456264207
Weather Up,40.6794388,-73.9680438,"589 Vanderbilt Ave (btwn Dean & Bergen St), Brooklyn, NY 11238",13009,"Cocktail Bar, Restaurant",59,0.9761168023552739
Ample Hills Creamery,40.6794388,-73.9680438,"623 Vanderbilt Ave (at St Marks Ave), Brooklyn, NY 11238",13035,"Coffee Shop, Ice Cream Parlor, Restaurant",104,0.9610208189383243
"Ciao, Gloria",40.6794388,-73.9680438,"550 Vanderbilt Ave (at Dean St), Brooklyn, NY 11238",13002,"Bakery, Café, Restaurant",119,0.9802625649653017
Alta Calidad,40.6794388,-73.9680438,"552 Vanderbilt Ave (Dean Street), Brooklyn, NY 11238",13303,Mexican Restaurant,90,0.983441984358258
Nourish,40.6794388,-73.9680438,"637A Vanderbilt Ave (Btw Prospect Pl & St. Marks Ave), Brooklyn, NY 11238",13352,Thai Restaurant,170,0.9686814672394628
King David Tacos,40.6794388,-73.9680438,"611 Bergen St (btw Carlton & Vanderbilt), Brooklyn, NY 11238",13306,Taco Restaurant,130,0.9745396100579806
R&D Foods,40.6794388,-73.9680438,"602 Vanderbilt Ave, Brooklyn, NY 11238",13039,Deli,127,0.9682208269494598
Underhill Playground,40.6794388,-73.9680438,"Underhill Ave (at Prospect Pl), Brooklyn, NY 11238",16037,Playground,356,0.9846086059622876
For All Things Good,40.6851443,-73.95380904,"343 Franklin Ave (at Greene Ave), Brooklyn, NY 11238",13034,"Café, Mexican Restaurant",373,0.9688216621103334
Pilar Cuban Eatery,40.6851443,-73.95380904,"397 Greene Ave (at Bedford Ave), Brooklyn, NY 11216",13135,"Cuban Restaurant, Latin American Restaurant",332,0.9634441874205145
Chilo's,40.6851443,-73.95380904,"323 Franklin Ave (at Clifton Pl), Brooklyn, NY 11238",13003,"Bar, Taco Restaurant",451,0.9538558596449064
Swell Dive,40.6851443,-73.95380904,"1013 Bedford Ave (btwn Lafayette Ave & Clinton Pl), Brooklyn, NY 11205",13003,"Bar, Filipino Restaurant, Tex-Mex Restaurant",467,0.988143519492094
Golda Kitchen,40.6851443,-73.95380904,"504 Franklin Ave, Brooklyn, NY 11238",13302,"Mediterranean Restaurant, Middle Eastern Restaurant, New American Restaurant",436,0.9617217932926768
Stonefruit Espresso + Kitchen,40.6851443,-73.95380904,"1058 Bedford Ave (btwn Lafayette Ave & Clifton Pl), Brooklyn, NY 11205",13034,"Café, Coffee Shop, Salad Restaurant",423,0.9766225052823424
Speedy Romeo,40.6851443,-73.95380904,"367 Classon Ave (at Greene Ave), Brooklyn, NY 11238",13064,Pizzeria,569,0.9654169295320495
Clementine Bakery,40.6851443,-73.95380904,"299 Greene Ave (btwn Classon Ave & Franklin Ave), Brooklyn, NY 11238",13002,"Bakery, Vegan and Vegetarian Restaurant",563,0.9903565956679785
"Captain Dan's ""Good Time"" Tavern",40.6851443,-73.95380904,"497 Greene Ave (btwn Nostrand Ave & Marcy Ave), Brooklyn, NY 11216",13003,"Bar, American Restaurant",434,0.9806180591021519
The Holler,40.6851443,-73.95380904,"348 Franklin Ave, Brooklyn, NY 11238",13006,"Beer Bar, Cocktail Bar, Restaurant",352,0.9622074683810496
Tacuba Cantina Mexicana,40.7557327,-73.9236611,"3501 36th St (at 35th Ave), Astoria, NY 11106",13307,"Tex-Mex Restaurant, South American Restaurant",88,0.9530752606074786
Mar's,40.7557327,-73.9236611,"3421 34th Ave (at 35th St), Astoria, NY 11106",13009,"Cocktail Bar, New American Restaurant, Seafood Restaurant",285,0.964761805072379
Pig Beach BBQ Queens,40.7557327,-73.9236611,"3537 36th St, Queens, NY 11106",13003,"Bar, BBQ Joint",143,0.9838617318005776
Cevabdzinica Sarajevo,40.7557327,-73.9236611,"3718 34th Ave (38th St), New York, NY 11101",13139,"Eastern European Restaurant, Fast Food Restaurant, Mediterranean Restaurant",217,0.9659871066258643
Sunswick,40.7557327,-73.9236611,"3502 35th St (at 35th Ave.), Astoria, NY 11106",13003,"Bar, Café, American Restaurant",175,0.9795454685393051
La Choza del Gordo,40.7557327,-73.9236611,"4105 Northern Blvd (41st Street), Long Island City, NY 11101",13133,"Colombian Restaurant, Tapas Restaurant",323,0.9712885369653159
Astoria Bier & Cheese,40.7557327,-73.9236611,"3414 Broadway (btwn 34th & 35th St.), Astoria, NY 11106",13003,"Bar, Deli, Sandwich Spot",546,0.9721813446299158
Mama's Empanadas,40.7557327,-73.9236611,"3241 Steinway St (btwn Broadway & 34th Ave.), Astoria, NY 11103",13070,"Argentinian Restaurant, Empanada Restaurant, Kosher Restaurant",400,0.9724030072225062
Tea and Milk,40.7557327,-73.9236611,"3202 34th Ave (btwn 32nd & 33rd St), Astoria, NY 11106",13033,"Bubble Tea Shop, Sandwich Spot",430,0.9692073715126625
Brooklyn Bagel & Coffee Co.,40.7557327,-73.9236611,"3505 Broadway (at 35th St), Astoria, NY 11106",13334,"Sandwich Spot, Bagel Shop, Bakery",538,0.957231434218547
Hudson Hound,40.73652889,-74.00618026,"575 Hudson St (btwn Bank St & W 11th St), New York, NY 10014",13003,"Bar, Gastropub, New American Restaurant",40,0.979292012935735
Malaparte,40.73652889,-74.00618026,"753 Washington St (at Bethune St), New York, NY 10014",13064,"Pizzeria, Italian Restaurant",165,0.9804130786297146
Magnolia Bakery,40.73652889,-74.00618026,"401 Bleecker St (at W 11th St), New York, NY 10014",13002,"Bakery, American Restaurant, Fast Food Restaurant",122,0.9944604783213628
Bleecker Playground,40.73652889,-74.00618026,"W 11TH St (btwn Hudson &  Bleecker St), New York, NY 10014",16037,Playground,59,0.9811816079419396
Entwine,40.73652889,-74.00618026,"765 Washington St (at W 12th), New York, NY 10014",13009,"Cocktail Bar, Wine Bar, Mediterranean Restaurant",183,0.9810147407212424
Dante West Village,40.73652889,-74.00618026,"551 Hudson St (Perry St), New York, NY 10014",13009,"Cocktail Bar, Italian Restaurant",152,0.9830265483397886
Katana Kitten,40.73652889,-74.00618026,"531 Hudson St (Charles), New York, NY 10014",13009,"Cocktail Bar, Japanese Restaurant",254,0.9901266310683262
L'Artusi,40.73652889,-74.00618026,"228 W 10th St (btwn Bleecker & Hudson St), New York, NY 10014",13236,Italian Restaurant,306,0.985964351521077
Pastis,40.73652889,-74.00618026,"52 Gansevoort St, New York, NY 10014",13148,French Restaurant,340,0.995710807355319
Barbuto,40.73652889,-74.00618026,"113 Horatio St, New York, NY 10014",13236,Italian Restaurant,363,0.9872076298273982
Maman,40.728846,-74.008591,"375 Hudson St, New York, NY 10014",13002,"Bakery, Café, Restaurant",69,0.9925755838002482
Westville,40.728846,-74.008591,"333 Hudson St (at Charlton St), New York, NY 10013",13134,"Comfort Food Restaurant, New American Restaurant",206,0.990946865716542
Hudson Clearwater,40.728846,-74.008591,"447 Hudson St (at Morton St), New York, NY 10014",13314,"New American Restaurant, Vegan and Vegetarian Restaurant",285,0.977989978565788
The Garden at St Luke in the Fields,40.728846,-74.008591,"487 Hudson St (at Barrow St), New York, NY 10014",16017,Garden,364,0.9732025345015606
Little Branch,40.728846,-74.008591,"20 7th Ave (at Leroy St), New York, NY 10011",13009,"Cocktail Bar, Speakeasy, Restaurant",339,0.9829395893656225
Jajaja,40.728846,-74.008591,"63 Carmine St (7th Avenue South), New York, NY 10014",13303,"Mexican Restaurant, Vegan and Vegetarian Restaurant",354,0.9793813221524461
Sushi Nakazawa,40.728846,-74.008591,"23 Commerce St (btwn Bedford St & 7th Ave S), New York, NY 10014",13276,Sushi Restaurant,475,0.9752472455157373
The Ear Inn,40.728846,-74.008591,"326 Spring St (btwn Greenwich & West), New York, NY 10013",13018,"Pub, American Restaurant",334,0.9903028992592036
Raku,40.728846,-74.008591,"48 MacDougal St (King and Macdougal), New York, NY 10012",13281,"Udon Restaurant, Noodle Restaurant",521,0.9849067423758132
Torch & Crown Brewing Company,40.728846,-74.008591,"12 Vandam St, New York, NY 10013",13029,"Brewery, American Restaurant",464,0.9941760989734141
Eastwood,40.71269042,-73.98776323,"221 E Broadway (at Clinton St.), New York, NY 10002",13009,"Cocktail Bar, American Restaurant, Mediterranean Restaurant",181,0.9921149362614222
Little Canal,40.71269042,-73.98776323,"26 Canal St (at Essex St), New York, NY 10002",13025,"Wine Bar, Coffee Shop, Restaurant",283,0.996775467228218
Wu's Wonton King,40.71269042,-73.98776323,"165 E Broadway (at Rutgers St), New York, NY 10002",13102,"Cantonese Restaurant, Dim Sum Restaurant",248,0.9989047869740157
Metrograph,40.71269042,-73.98776323,"7 Ludlow St (at Canal St), New York, NY 10002",13068,"American Restaurant, Vegan and Vegetarian Restaurant, Restaurant",376,0.9883075433384725
Kiki's,40.71269042,-73.98776323,"130 Division St (btwn Orchard & Ludlow St), New York, NY 10002",13177,"Greek Restaurant, Mediterranean Restaurant, Middle Eastern Restaurant",410,0.989036118527432
Doughnut Plant,40.71269042,-73.98776323,"379 Grand St (at Norfolk St), New York, NY 10002",13001,"Bagel Shop, Bakery, American Restaurant",407,0.9944722295340879
Kopitiam,40.71269042,-73.98776323,"151 E Broadway (btw Rutgers & Pike St), New York, NY 10002",13034,"Café, Malay Restaurant",297,0.9948200654307524
Forgtmenot,40.71269042,-73.98776323,"138 Division St, New York, NY 10002",13314,"New American Restaurant, Dive Bar",374,0.9778278118301809
169 Bar,40.71269042,-73.98776323,"169 E Broadway (btwn Rutgers & Jefferson St), New York, NY 10002",10032,"Night Club, Dive Bar, American Restaurant",244,0.9966579551009664
Scarr's Pizza,40.71269042,-73.98776323,"35 Orchard St (btwn Canal & Hester St), New York, NY 10002",13064,Pizzeria,470,0.9896072274658745
East River Park,40.71782143,-73.97628939,"FDR Dr (btwn E 14th & Grand St), New York, NY 10009",16037,Playground,292,0.9995229007633588
Casa Adela,40.71782143,-73.97628939,"66 Avenue C (at E 5th St), New York, NY 10009",13297,"Latin American Restaurant, Puerto Rican Restaurant",620,0.9876236227578686
Alphabet City Beer Co,40.71782143,-73.97628939,"96 Avenue C (at E 6th St), New York, NY 10009",13006,"Beer Bar, Beer Garden, Deli",698,0.9859102959425413
Pause Cafe,40.71782143,-73.97628939,"3 Clinton St (btwn E Houston & Stanton St), New York, NY 10002",13034,"Café, Coffee Shop, Mediterranean Restaurant",752,0.987271086376114
Domino Park,40.71782143,-73.97628939,"15 River St (btwn Grand & S 5th St), Brooklyn, NY 11249",16032,Park,811,0.9995593875486927
Other Half Brewing Domino Park,40.71782143,-73.97628939,"34 S River St (at S 1st St), Brooklyn, NY 11249",13006,"Beer Bar, Brewery, Restaurant",814,0.9887693894513374
6BC Botanical Community Garden,40.71782143,-73.97628939,"601 E 6th St (at Ave B), New York, NY 10009",16017,Garden,772,0.9769535216034295
Ost Cafe,40.71782143,-73.97628939,"511 Grand St, New York, NY 10002",13034,"Café, Coffee Shop, Restaurant",609,0.9875507652389727
Kings Co Imperial,40.71782143,-73.97628939,"168 1/2 Delancey St (btw Clinton & Attorney), New York, NY 10002",10039,"Music Venue, Chinese Restaurant, Noodle Restaurant",781,0.9880748693265144
Sunny and Annie's,40.71782143,-73.97628939,"94 Avenue B (at E 6th St), New York, NY 10009",13039,"Deli, Sandwich Spot",875,0.9833109276877374
Russ & Daughters,40.69794,-73.96986848,"141 Flushing Ave (at Vanderbilt Ave), Brooklyn, NY 11205",13001,"Bagel Shop, Bakery, Restaurant",102,0.9840528334384795
Il Porto,40.69794,-73.96986848,"37 Washington Ave (Flushing), Brooklyn, NY 11205",13064,"Pizzeria, Italian Restaurant",192,0.9731326543896015
Le Petit Monstre,40.69794,-73.96986848,"82 Washington Ave (Park Avenue), Brooklyn, NY 11205",13002,"Bakery, Vegan and Vegetarian Restaurant",254,0.9692222188842491
Brooklyn Navy Yard,40.69794,-73.96986848,"63 Flushing Ave (at Cumberland St), Brooklyn, NY 11205",16020,Historic and Protected Site,476,0.9997045893792371
LaRina Pastificio & Vino,40.69794,-73.96986848,"387 Myrtle Ave (btwn Clermont & Vanderbilt Ave), Brooklyn, NY 11205",13025,"Wine Bar, Italian Restaurant, Mediterranean Restaurant",529,0.9835421235517369
Farmer in the Deli,40.69794,-73.96986848,"357 Myrtle Ave (at Adelphi St), Brooklyn, NY 11205",13039,Deli,544,0.9887944242497071
Putnam's Pub & Cooker,40.69794,-73.96986848,"419 Myrtle Ave (Clinton Ave.), Brooklyn, NY 11205",13018,"Pub, American Restaurant",530,0.9861407356225153
Rooftop Reds,40.69794,-73.96986848,"299 Sands St, Brooklyn, NY 11201",13025,"Wine Bar, Restaurant, Winery",659,0.9836572836242377
Rhodora Wine Bar,40.69794,-73.96986848,"197 Adelphi St (at Willoughby Ave), Brooklyn, NY 11205",13025,"Wine Bar, Restaurant",700,0.9675498943531509
Fort Greene Park,40.69794,-73.96986848,"Fort Greene Park (btwn Myrtle & DeKalb Ave), Brooklyn, NY 11201",16036,"Picnic Area, Playground",854,0.9998347703307597
Pause Cafe,40.71850211,-73.98329859,"3 Clinton St (btwn E Houston & Stanton St), New York, NY 10002",13034,"Café, Coffee Shop, Mediterranean Restaurant",312,0.987271086376114
Clinton St. Baking Company,40.71850211,-73.98329859,"4 Clinton St (at E Houston St), New York, NY 10002",13002,"Bakery, American Restaurant, Southern Food Restaurant",325,0.9898258000225624
Doughnut Plant,40.71850211,-73.98329859,"379 Grand St (at Norfolk St), New York, NY 10002",13001,"Bagel Shop, Bakery, American Restaurant",507,0.9944722295340879
Il Laboratorio Del Gelato,40.71850211,-73.98329859,"188 Ludlow St (at E Houston St), New York, NY 10002",13046,"Ice Cream Parlor, Restaurant",519,0.9884086037679088
Van Leeuwen Ice Cream,40.71850211,-73.98329859,"172 Ludlow St, New York, NY 10002",13046,"Ice Cream Parlor, Restaurant",482,0.98312525852668
Essex Market,40.71850211,-73.98329859,"88 Essex St (at Delancey St), New York, NY 10002",13002,"Bakery, Café, Sandwich Spot",420,0.9996357124055203
Katz's Deli,40.71850211,-73.98329859,"205 E Houston St (at Ludlow St), New York, NY 10002",13039,"Deli, American Restaurant, Sandwich Spot",544,0.999001146918362
Okiboru,40.71850211,-73.98329859,"117 Orchard St (at Delancey St), New York, NY 10002",13272,Ramen Restaurant,554,0.9865143082766141
Sonnyboy,40.71850211,-73.98329859,"65 Rivington St, New York, NY 10002",13009,"Cocktail Bar, American Restaurant, Australian Restaurant",614,0.9810311924190577
The Ten Bells,40.71850211,-73.98329859,"247 Broome St (btwn Ludlow & Orchard St), New York, NY 10002",13025,"Wine Bar, American Restaurant, Tapas Restaurant",546,0.9828032752980107
Patsy's Pizza,40.7945663,-73.9362541,"2287 1st Ave (btwn E 117th & E 118th St), New York, NY 10035",13064,Pizzeria,313,0.9966767570413266
Rao's,40.7945663,-73.9362541,"455 E 114th St (at Pleasant Ave), New York, NY 10029",13236,Italian Restaurant,185,0.9910220734779829
Ricardo Steak House,40.7945663,-73.9362541,"2145 2nd Ave (btwn 110th & 111st St), New York, NY 10029",13383,Steakhouse,376,0.9897035874102207
Thomas Jefferson Park,40.7945663,-73.9362541,"2180 1st Ave (btwn E 111th & E 114th St), New York, NY 10029",16036,"Picnic Area, Playground",160,0.9983054751250329
Taco Mix,40.7945663,-73.9362541,"234 E 116th St (btwn 2nd and 3rd Ave.), New York, NY 10029",13145,"Fast Food Restaurant, Latin American Restaurant, Taco Restaurant",372,0.9944816305042681
Evelyn's Kitchen,40.7945663,-73.9362541,"2317 1st Ave (b/t E 118th St & E 119th St)), New York, NY 10035",13002,"Bakery, Dessert Shop, American Restaurant",384,0.9783895197984432
Blue Line Deli,40.7945663,-73.9362541,"2135 1st Ave (at E 110th St), New York, NY 10029",13039,Deli,319,0.9954264280073704
Tres Leches Cafe,40.7945663,-73.9362541,"356 E 112th St, New York, NY 10029",13002,"Bakery, Dessert Shop, Latin American Restaurant",177,0.9834096378746287
La Chula,40.7945663,-73.9362541,"137 E 116th St, New York, NY 10029",13303,Mexican Restaurant,643,0.980363723536269
FDR Bike/Run/Walk Path,40.7945663,-73.9362541,"New York, NY 10035",16019,Hiking Trail,300,0.9714868574436882
Defonte's,40.6747055,-74.0075572,"379 Columbia St (at Luquer St), Brooklyn, NY 11231",13039,"Deli, Sandwich Spot",515,0.978830574498553
Red Hook Tavern,40.6747055,-74.0075572,"329 Van Brunt St, Brooklyn, NY 11231",13018,"Pub, American Restaurant",513,0.970839466858934
Somtum Der,40.6747055,-74.0075572,"380 Van Brunt St, Brooklyn, NY 11231",13352,Thai Restaurant,551,0.954737084547521
Grindhaus,40.6747055,-74.0075572,"275 Van Brunt St (btwn Pioneer St. & Visitation Pl.), Brooklyn, NY 11231",13314,New American Restaurant,567,0.937423017995013
Red Hook Lobster Pound,40.6747055,-74.0075572,"284 Van Brunt St (btwn Verona St & Visitation Pl), Brooklyn, NY 11231",13068,"American Restaurant, Seafood Restaurant",604,0.9816645136740069
Court Street Grocers Hero Shop,40.6747055,-74.0075572,"116 Sullivan St (between Van Brunt & Conover St), Brooklyn, NY 11231",13334,Sandwich Spot,636,0.9555632328937222
Baked,40.6747055,-74.0075572,"359 Van Brunt St (at Dikeman St), Brooklyn, NY 11231",13002,"Bakery, American Restaurant",546,0.9345089674647761
Other Half Brewing Company,40.6747055,-74.0075572,"195 Centre St (Smith & Court St), Brooklyn, NY 11231",13003,"Bar, Brewery, Restaurant",717,0.9947977688987693
Hometown Bar-B-Que,40.6747055,-74.0075572,"454 Van Brunt St (at Reed St), Brooklyn, NY 11231",13026,BBQ Joint,726,0.9782247323780054
Santo Brúklin,40.6747055,-74.0075572,"548 Court St (at W 9th St), Brooklyn, NY 11231",13079,"Brazilian Restaurant, Comfort Food Restaurant, Sandwich Spot",679,0.9599893852454913
Pio Pio,40.76030096,-73.99884222,"604 10th Ave (btwn W 43rd & W 44th St), New York, NY 10036",13303,"Mexican Restaurant, Peruvian Restaurant",363,0.9923828639115557
Pier 84,40.76030096,-73.99884222,"W 44TH St (at 12th Ave), New York, NY 10036",16032,Park,356,0.9983266273079382
